,film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day
55,1485,277,13840000,173,0,3,21.36,80000.0,173,809.9250936329587,2018-04-03,4,2,3
56,1559,210,8000000,80,0,6,11.2,100000.0,80,714.2857142857142,2018-07-30,7,3,30
57,1554,390,34300000,343,0,2,91.22,100000.0,343,376.014032010524,2018-08-12,8,3,12
58,1499,237,240000,4,0,2,0.59,60000.0,4,677.9661016949152,2018-07-25,7,3,25
59,1554,454,8100000,135,0,2,22.5,60000.0,135,600.0,2018-08-15,8,3,15
60,1496,448,29750000,290,0,7,18.49,102586.20689655172,290,1568.4153596538672,2018-05-21,5,2,21
61,1553,516,2880000,36,0,1,30.77,80000.0,36,116.99707507312318,2018-10-19,10,4,19
62,1553,160,1440000,18,0,2,1.33,80000.0,18,1353.3834586466164,2018-10-19,10,4,19
63,1483,35,31900000,319,0,2,95.51,100000.0,319,333.9964401633337,2018-04-02,4,2,2
64,1564,163,6360000,106,0,3,78.52,60000.0,106,134.99745287824757,2018-09-11,9,3,11
65,1482,238,17100000,570,0,4,58.88,30000.0,570,968.0706521739132,2018-05-01,5,2,1
66,1553,359,300000,6,0,2,1.43,50000.0,6,419.58041958041963,2018-10-28,10,4,28
67,1483,344,750000,5,0,1,1.88,150000.0,5,265.9574468085106,2018-06-12,6,2,12
68,1496,304,17120000,214,0,3,48.53,80000.0,214,440.96435194724916,2018-06-02,6,2,2
69,1498,259,5280000,66,0,1,20.75,80000.0,66,318.07228915662654,2018-08-04,8,3,4
70,1499,472,1190000,17,0,1,5.9,70000.0,17,288.135593220339,2018-07-30,7,3,30
71,1493,429,2750000,31,0,4,7.11,88709.67741935482,31,436.0056258790435,2018-05-27,5,2,27
72,1494,338,2480000,31,0,1,14.55,80000.0,31,213.05841924398624,2018-05-18,5,2,18
73,1562,529,1320000,11,0,2,2.86,120000.0,11,384.6153846153846,2018-09-17,9,3,17
74,1481,291,3750000,81,0,3,14.86,46296.2962962963,81,545.0874831763123,2018-03-25,3,1,25
75,1495,165,960000,12,0,1,20.0,80000.0,12,60.0,2018-06-18,6,2,18
76,1481,304,11850000,79,0,4,12.93,150000.0,79,610.9822119102863,2018-05-12,5,2,12
77,1563,73,5040000,42,0,3,5.14,120000.0,42,817.1206225680936,2018-09-13,9,3,13
78,1499,556,7920000,66,0,1,78.57,120000.0,66,84.00152730049638,2018-08-10,8,3,10
79,1481,259,38000000,622,0,2,97.8,61093.247588424434,622,635.9918200408997,2018-04-27,4,2,27
80,1486,50,3660000,62,0,3,21.09,59032.25806451612,62,293.9781887150308,2018-04-10,4,2,10
81,1497,163,1560000,19,0,3,17.27,82105.26315789473,19,110.01737116386799,2018-07-11,7,3,11
82,1493,141,58200000,405,0,3,50.19,143703.70370370368,405,806.9336521219367,2018-06-29,6,2,29
83,1484,505,2100000,70,0,1,36.08,30000.0,70,194.01330376940132,2018-04-17,4,2,17
84,1493,204,3570000,51,0,6,2.76,70000.0,51,1847.826086956522,2018-08-24,8,3,24
85,1511,144,1880000,47,0,10,9.22,40000.0,47,509.76138828633407,2018-07-24,7,3,24
86,1485,427,22560000,192,0,4,49.23,117500.0,192,390.00609384521636,2018-03-30,3,1,30
87,1498,164,700000,10,0,4,5.68,70000.0,10,176.05633802816902,2018-08-18,8,3,18
88,1562,71,6600000,44,0,3,6.14,150000.0,44,716.6123778501628,2018-09-03,9,3,3
89,1556,445,15720000,262,0,4,61.21,60000.0,262,428.03463486358436,2018-09-25,9,3,25
90,1494,310,1500000,25,0,3,1.85,60000.0,25,1351.3513513513512,2018-06-08,6,2,8
91,1484,89,11040000,92,0,4,18.55,120000.0,92,495.9568733153639,2018-03-15,3,1,15
92,1556,331,1400000,20,0,2,2.27,70000.0,20,881.0572687224669,2018-09-05,9,3,5
93,1486,162,540000,9,0,4,1.96,60000.0,9,459.1836734693878,2018-04-16,4,2,16
94,1494,221,4320000,57,0,2,5.69,75789.47368421053,57,1001.757469244288,2018-06-30,6,2,30
